tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
Gastric Cancer,,Neoadjuvant/adjuvant,,,MAGIC,,Resectable gastric and EGJ adenoca; ≥T2,Periop chemo (ECF) vs surgery alone,OS HR 0.75; PFS HR 0.66; 5 year OS 36 vs 23%,,,,,,,Gastric Cancer!4,
Gastric Cancer,,Neoadjuvant/adjuvant,,,FLOT4-AIO,,Resectable gastric or GEJ adenoca,FLOT vs ECF/EFX,"OS median 50 vs 35 mos, HR 0.77;",,,,,,,Gastric Cancer!6,
Gastric Cancer,,Neoadjuvant/adjuvant,,,RAMSES,Phase 2,Gastric or GEJ adenoca,FLOT +/- Ramucirumab (phase 2),higher R0 (97 vs 83%) but similar path CR,,,,,,,Gastric Cancer!7,
Gastric Cancer,,Neoadjuvant/adjuvant,,,CLASSIC,,"Gastric II, IIIA, IIIB after D2 gastrectomy",Adjuvant CAPOX vs surgery alone,"3 year DFS 74 vs 59%, HR 0.59; 5 year OS 78 vs 69%, HR 0.66",,,,,,,Gastric Cancer!8,
Gastric Cancer,,Neoadjuvant/adjuvant,,,INT 0116,,"T1-4, N0-1 gastric/GEJ after surgery (most T3/T4 or N1)",Adjuvant chemoradiation vs observation,3 year OS 50 vs 41%; 5 year OS 43 vs 28%; grade 3/4 tox in 41/32% with chemo-XRT; similar distant mets but fewer locoregional recurrences with chemo-XRT,,,,,Only 10% had D2 resection; 54% didn’t even have D1,,Gastric Cancer!9,
Gastric Cancer,,Neoadjuvant/adjuvant,,,ARTIST,,Post D2 gastrectomy,Adjuvant chemo (cis-cape) vs chemorads +chemo,3 year DFS NS overall; unplanned subset analysis node+ better 3 year; DFS 76v s 72%; OS NS,,,,,,,Gastric Cancer!10,
Gastric Cancer,,Neoadjuvant/adjuvant,,,ARTIST 2,,Stage II/III node positive post D2 gastrectomy,S1 vs S1-ox vs s1-ox+chemo-XRT,3 year DFS NS with RT vs SOX;,,,,,,,Gastric Cancer!11,
Gastric Cancer,,Neoadjuvant/adjuvant,,,CROSS,,Esophageal/GEJ potentially resectable,Surgery +/- preoperative chemo-RT (carbo/weekly taxol),"5-y OS 47 vs 33%, HR 0.67; 10-y OS 38 vs 25%, HR 0.70; R0 92 vs 65%; path CR 29% with chemo-RT (23% adeno, 39% squamous)",Rates of distant relapse not different between arms,,,,,,Gastric Cancer!12,
Gastric Cancer,,Neoadjuvant/adjuvant,,,Neo-AEGIS,Phase 3,adenoca esoph and GEJ; T2-3N0-3M0,Periop chemo (modified MAGIC or FLOT) vs CROSS CRT,3 year estimated OS 56/57% (NS),No evidence periop chemo or CROSS better one over the other although markers of response better with CROSS,,,,,,Gastric Cancer!13,
Gastric Cancer,,Neoadjuvant/adjuvant,,,POET,,stage 1-3 GEJ adenoca,Chemo vs chemo-XRT before surgery,"OS not significant (HR 0.65, p-0.055)",2017,,,,,,Gastric Cancer!14,
Gastric Cancer,,Neoadjuvant/adjuvant,,,TOPGEAR,,Gastric/GEJ,neoadjuvant ECF+/-chemoXRT ; all had post-op ECF,pCR 17% vs 8%; OS and PFS NS,No benefit to adding CRT to period chemo,,,,,,Gastric Cancer!15,
Gastric Cancer,,Neoadjuvant/adjuvant,,,CRITICS,,Stage IB-IV potentially resectable gastric ca; ≥D1 lymphadenectomy,Chemo (ECX/EOX)-surgery then post op chemo vs chemo-XRT,OS NS (40 vs 42%) at 61 mo follow up; local recurrence 15 vs 11%,Initial report didn’t stratify by neoadjuvant response so unknown whether non-responders might benefit from chemo-xrt,,,,,,Gastric Cancer!16,
Gastric Cancer,,Neoadjuvant/adjuvant,,,CRITICS-II,Phase 2,"Resectable gastric adenocarcinoma, clinical stage IB-IIIC",Neoadjuvant DOC x4 vs DOC x2 then chemo-RT vs chemo-RT alone (DOC = docetaxel/oxaliplatin/capecitabine),"Not yet reported; non-comparative phase 2 selecting an arm for phase 3, primary endpoint 1-y EFS (NCT02931890)",Protocol paper BMC Cancer 2018 (PMID 30200910); no results in PubMed as of Sept 2026,,,,,,Gastric Cancer!17,
Gastric Cancer,,Neoadjuvant/adjuvant,,,ESOPEC,Phase 3,Resectable; locally advanced esophageal or gastroesophageal junction (GEJ) adenocarcinoma (cT1cN+ or cT2–4a cNany; cM0),Periop FLOT vs neoadjuvant chemo-rads (CROSS),"OS 66 vs 37 mos, HR 0.70; 5 year OS 51 vs 39%; PFS 38 vs 16 mos, HR 0.66; pCR 16 vs 10%;",,,,,,,Gastric Cancer!18,
Gastric Cancer,,Neoadjuvant/adjuvant,,,ACTS-GC,,stage 2/3 gastric ca post D2 surgery,Adjuvant S1 vs Surgery alone,5 year oS 72 vs 61%,East Asian standard adjuvant,,,,,,Gastric Cancer!19,
Gastric Cancer,,Neoadjuvant/adjuvant,,,JACCRO GC-07,,Stage 3 gastric post D2 surgery,Adjuvant docetaxel+S1 vs S1,3 year RFS 66 vs 50% (interim),,,,,,,Gastric Cancer!20,
Gastric Cancer,,Neoadjuvant/adjuvant,,,PETRARCA,Phase 2,HER2+,FLOT+/- tras/pert,"Improved pCR, node negative but increased grade 3/4 toxicity, similar R0",Not moving forward to phase 3,,,,,,Gastric Cancer!21,
Gastric Cancer,,Neoadjuvant/adjuvant,,,Checkmate-577,,"Residual cancer after neoadjuvant chemo rads , stage 2/3 esophageal or GE junction",Nivolumab vs placebo,"DFS 22 vs 11 mos, HR 0.69; distant metastasis free survival 28 vs 18 mos (HR 0.74);",Benefit seen in PDL1 > and < 5;,,,,,,Gastric Cancer!22,
Gastric Cancer,,Neoadjuvant/adjuvant,,,GERCOR NEONIPIGA,,Locally advanced resectable dMMR cT2-4NXM) gastric/GEJ adenoma,neoadjuvant ipi-nivo then adjuvant novo,Path CR 59%,,,,,,,Gastric Cancer!23,
Gastric Cancer,,Neoadjuvant/adjuvant,,,MATTERHORN,,Resectable gastric or GEJ adenoca,FLOT +/- durvalumab,OS NR but HR 0.78; 3 year OS 69 vs 62%;,PDL1 status did not affect OS benefit,,,,,,Gastric Cancer!24,
Gastric Cancer,,Advanced,1st line,,FLAGS,Phase 3,Untreated advanced gastric/GEJ adenocarcinoma; n=1053,Cis-5FU vs cis-S1,"Primary endpoint not met: OS 8.6 vs 7.9 mo, HR 0.92 (0.80-1.05); less neutropenia, stomatitis and treatment-related death with cis-S1",,"OS 8.6 (cis-S1) vs 7.9 mo, HR 0.92 (95% CI 0.80-1.05), p=0.20",20159816,,,,Gastric Cancer!29,
Gastric Cancer,,Advanced,1st line,,REAL,,Non-inferiority study,ECF vs ECX vs EOF vs EOX,Comparable outcomes in all groups,,,,,,,Gastric Cancer!31,
Gastric Cancer,,Advanced,1st line,,CALGB 80403,Phase 2,Untreated metastatic esophageal/GEJ cancer; n=245 (222 adenocarcinoma),"ECF vs IC vs FOLFOX, all + cetuximab","ORR 61 vs 45 vs 54%; OS 11.6 vs 8.6 vs 11.8 mo; ECF and FOLFOX similar, FOLFOX better tolerated",Supports FOLFOX option,"ORR (adenocarcinoma) 60.9% ECF, 45.0% IC, 54.3% FOLFOX, all + cetuximab",27382098,,,,Gastric Cancer!32,
Gastric Cancer,,Advanced,1st line,,TAX-325,Phase 3,Untreated advanced gastric cancer; n=445,DCF vs CF,"Better TTP (32% risk reduction), OS (23% risk reduction) and ORR; 2-y OS 18 vs 9%; more diarrhea and neutropenia",,"TTP longer with DCF, 32% risk reduction, p<0.001",17075117,,,,Gastric Cancer!33,
Gastric Cancer,,Advanced,1st line,,FLOT65+,Phase 2,"Age ≥65, locally advanced or metastatic oesophagogastric adenocarcinoma; n=143","FLO vs FLOT (5-FU/LV/oxaliplatin +/- docetaxel 50 mg/m2), every 2 weeks","Grade 3-4 AEs 82 vs 39% with FLOT; QoL deterioration 48 vs 21%; ORR and PFS better with FLOT only if locally advanced or age 65-70, not metastatic or ≥70","Primary aim feasibility/tolerability; OS not different (as previously recorded - not stated in abstract); perioperative subgroup (n=44): PFS 21.1 vs 12.0 mo, p=0.09, PMID 23322206","Treatment-related grade 3-4 AEs 81.9% FLOT vs 38.6% FLO, p<0.001",23063354,,,,Gastric Cancer!34,
Gastric Cancer,,Advanced,1st line,,PRODIGE 51-FFCD-GASTFOX,Phase 3,HER2 negative advanced gastric or GEJ; 1st line,Modified FLOT (TFLOT) vs FOLFOX,"PFS 7.6 vs 6.0 mos; OS 15 vs 12.7 mos, HR 0.82; ORR 62 s 53%",,,,,,,Gastric Cancer!35,
Gastric Cancer,,Advanced,1st line,,GO2,,Frail elderly,CAPOX standard dose vs 80% dose vs 60% dose,Non-inferior cancer control with lowest doses and better QOL,,,,,,,Gastric Cancer!36,
Gastric Cancer,,Advanced,1st line,,KEYNOTE-062,,Gastric/GEJ CPS ≥1,Pembro vs cis-FU vs pembro+cis-5FU,"Pembro non-inferior to chemo for OS, less toxicity; CPS≥10 OS 17.4 vs 10.8 mo, HR 0.69; pembro+chemo not better than chemo alone, including CPS≥10","Lower RR and PFS with pembro monotherapy, so not routinely recommended",,,,,,Gastric Cancer!37,
Gastric Cancer,,Advanced,1st line,,KEYNOTE-859,,Gastric/GEJ,Chemo (cis-5FU or cape-ox) +/- pembro,"OS 13 vs 11.5 mos, HR 0.78;",PDL<1 did not seem to benefit; others did in contrast to KN-062,,,,,,Gastric Cancer!38,
Gastric Cancer,,Advanced,1st line,,KEYNOTE-590,,"Esoph/GEJ 1L, (PDL1≥10% is subgroup of interest)",Cis-5FU +/-pembro,"ESCC CPS≥10% OS 13.9 vs 8.8 mos, HR 0.57",,,,,,,Gastric Cancer!39,
Gastric Cancer,,Advanced,1st line,,Checkmate-648,,Esophageal squamous cell ca,Nivo-ipi vs nivo-chemo vs Chemo (cis-5FU),OS in PDL1 ≥ 1% 14 vs 15 vs 9 mos (HR 0.64 and 0.54 for comparisons with chemo); in all patients OS 13/13 vs 11 (HR 0.74),,,,,,,Gastric Cancer!40,
Gastric Cancer,,Advanced,1st line,,CheckMate-649,,"Gastric/GEJ/esoph 1L, (PDL1≥5% is subgroup of interest - PFS and OS in this subgroup were co-primary endpoints)",Nivo-ipi vs nivo-chemo vs Chemo,Nivo-chemo vs chemo: OS 14.4 vs 11.1 mos HR 0.71 in CPS ≥5; OS 14 vs 11 HR 0.77 in CPS≥1; OS 13.8 vs 11.6 HR 0.8 in total study; nivo-ipi did not improve outcomes,Nivo-chemo and nivo-ipi both had superior OS relative to chemo; nivo-ipi arm closed early due to safety concerns (higher dose ipi used),,,,,,Gastric Cancer!41,
Gastric Cancer,,Advanced,1st line,,ToGA,Phase 3,HER2+ (IHC 3+ or FISH+) advanced gastric/GEJ cancer; n=594,Cis+FU/cape +/-trastuzumab,"OS 13.8 vs 11.1 mo, HR 0.74 (0.60-0.91), p=0.0046; IHC3+ patients had most benefit (HR 0.66 for death)",,"OS 13.8 vs 11.1 mo, HR 0.74 (95% CI 0.60-0.91), p=0.0046",20728210,,,,Gastric Cancer!42,
Gastric Cancer,,Advanced,1st line,,KEYNOTE 811,Phase 3,metastatic HER2+ gastric/GEJ,Chemo (FP or CAPOX) +/- pembro,"PFS 10 vs 8 mos, R 0.72; PFS PDL1 >1 11 vs 7 mos, HR 0.7; ORR 74 vs 52%; CR 11 vs 3%; median DOR 11 vs 9 mos; OS 20 vs 17 mos overall and 20 vs 16 for PDL1 CPS>1",,,,,,,Gastric Cancer!43,
Gastric Cancer,,Advanced,1st line,,HORIZON-GEA-01,Phase 3,metastatic HER2+ gastric/GEJ,Zanidatamab and chemo +/- tislelizumab vs chemo + trastuzumab,OS 26 vs 19 mos;,,,,,,,Gastric Cancer!44,
Gastric Cancer,,Advanced,1st line,,JACOB,Phase 3,HER2+ metastatic gastric/GEJ cancer; n=780,Tras-Cis-FU/cape +/- pertuzumab,"Primary endpoint not met: OS 17.5 vs 14.2 mo, HR 0.84 (0.71-1.00), p=0.057; more diarrhea with pertuzumab",,"OS 17.5 vs 14.2 mo, HR 0.84 (95% CI 0.71-1.00), p=0.057",30217672,,,,Gastric Cancer!45,
Gastric Cancer,,Advanced,1st line,,FIGHT,Phase 2,HER2 neg; FGFR2b overexpressing 1st line gastric,FOLFOX+/- bemarituzumab,"PFS NS (9.5 vs 7.4 mos, p=0.07) but improved OS NR vs 12.9 mos, HR 0.58; ORR 53% vs 40%",Stomatitis and corneal AEs more common with bema,,,,,,Gastric Cancer!46,
Gastric Cancer,,Advanced,1st line,,SPOTLIGHT,Phase 3,Claudin 18.2+ GC/GEJ,FOLFOX +/- Zolbetuximab,"PFS 10.6 vs 8.7 mos, HR 0.75; OS 18 vs 15.5 mos, HR 0.75",,,,,,,Gastric Cancer!47,
Gastric Cancer,,Advanced,1st line,,GLOW,,"HER2-, CLDN18.2+ locally advanced unresectable G/GEJ Adenocarcinoma",CAPOX+/- zolbetuximab,PFS 8 vs 7 mos (HR 0.69); OS 14 vs 12 mos (HR 0.77),,,,,,,Gastric Cancer!48,
Gastric Cancer,,Advanced,1st line,,ARMANI,Phase 3,HER2-; after 3 mos CAPOX/FFOX,Continued FFOX/CAPOX or switch to ram-taxol,"PFS 7 vs 5 mos, HR 0.61; OS 12.6 vs 10.4 mos, HR 0.75; benefit mainly in those with SD rather than response",Supports early switch in patients with stable disease,,,,,,Gastric Cancer!49,
Gastric Cancer,,Advanced,1st line,,REAL 2,,Untreated advanced esophagogastric cancer; n=1002,"ECF vs ECX vs EOF vs EOX (2x2: capecitabine vs 5-FU, oxaliplatin vs cisplatin)","2x2 non-inferiority: capecitabine vs 5-FU HR 0.86 (0.80-0.99); oxaliplatin vs cisplatin HR 0.92 (0.80-1.10); median OS ECF 9.9, ECX 9.9, EOF 9.3, EOX 11.2 mo; EOX vs ECF HR 0.80, p=0.02",Supports substituting capecitabine for 5-FU and oxaliplatin for cisplatin,OS non-inferiority met for both capecitabine (HR 0.86) and oxaliplatin (HR 0.92),18172173,,,,Gastric Cancer!5,
Gastric Cancer,,Advanced,2nd and later line,,RAMIRIS,Phase 2,post fluoropyrimidine/platinum gastroesophageal adenocarcinoma,FOLFIRI-Ram vs Paclitaxel-ram,PFS/OS NS; docetaxel pretreated patients had more benefit in FOLFIRI arm,FOLFIRI-Ram an option and consider for patients with previous taxane and platinum (eg FLOT),,,,,https://ascopubs.org/doi/abs/10.1200/JCO.2020.38.15_suppl.4514,Gastric Cancer!52,
Gastric Cancer,,Advanced,2nd and later line,,KEYNOTE-181,,SCC or adenoca GEJ or esophagus 2nd line therapy; PDL1 CPS≥10 subgroup,Pembro vs taxane or iri,"OS 9.3 vs 6.7 mos, 12 mo PFS 43 vs 20% benefit in CPS≥10 but not in overall population",,,,,,,Gastric Cancer!53,
Gastric Cancer,,Advanced,2nd and later line,,ATTRACTION-2,,Gastric or EGJ post ≥2 therapies (no biomarker restriction),Nivo vs placebo,OS 5.3 vs 4.1 months; 12 month survival 27 vs 11 mos,,,,,,,Gastric Cancer!54,
Gastric Cancer,,Advanced,2nd and later line,,ATTRACTION-3,,Esoph SCC; ≥1 prior therapy (no biomarker restriction),Nivo vs taxane,"OS 10.9 vs 8.4 mos, HR 0.77, less toxicity with nivo",,,,,,,Gastric Cancer!55,
Gastric Cancer,,Advanced,2nd and later line,,ATTRACTION-4,,Gastric or GEJ; 1st line; Asian countries; not selected for PDL1,SOX/CAP-Ox +/- nivo,PFS 10.5 vs 8.3 mos HR 0.68; 1 year PFS 45 vs 31%; OS NS,,,,,,,Gastric Cancer!56,
Gastric Cancer,,Advanced,2nd and later line,,CheckMate-032,,Gastric/GEJ/esoph ≥1 prior therapy,Nivo vs nivo 1/ipi 3 vs nivo 3/ ipi 1,"12 month OS 39, 37, 24 mos",,,,,,,Gastric Cancer!57,
Gastric Cancer,,Advanced,2nd and later line,,JAVELIN Gastric 300,,≥2 lines,Avelumab vs taxol or ir,No improvement in PFS/OS,,,,,,,Gastric Cancer!58,
Gastric Cancer,,Advanced,2nd and later line,,ESCORT,,Esoph SCC ≥1 prior therapy,Camrelizumab vs chemo,OS 8.3 vs 6.2 months,Chinese population,,,,,,Gastric Cancer!59,
Gastric Cancer,,Advanced,2nd and later line,,KEYNOTE-061,,Gastric/EGJ ≥1 prior therapy; amended to restrict to CPS≥1,Pembro vs taxol,"Similar OS and PFS, better tolerance pembro; more benefit suggested for cps≥10 and MSI-H",,,,,,,Gastric Cancer!60,
Gastric Cancer,,Advanced,2nd and later line,,TAGS,,"Gastric/EGJ, heavily pretreated (≥2?)",lonsurf vs placebo,Median OS 5.7 vs 3.6 months,,,,,,,Gastric Cancer!61,
Gastric Cancer,,Advanced,2nd and later line,,REGARD,,Gastric/EGJ ≥1 prior,Ramucirumab vs placebo,Med OS 5.2 vs 3.8 mos,,,,,,,Gastric Cancer!62,
Gastric Cancer,,Advanced,2nd and later line,,RAINBOW,,Gastric/EGJ 2nd line,Taxol +/-ramucirumab,"Med OS 9.6 vs 7.4 mos, HR 0.8; PFS 4.4 vs 2.9 mos",,,,,,,Gastric Cancer!63,
Gastric Cancer,,Advanced,2nd and later line,,INTEGRATE,Phase 2,Gastric,Regorafenib vs placebo,PFS 2.6 vs 0.9 mos; trend for OS 5.8 vs 4.5 mos,Phase 3 planned,,,,,,Gastric Cancer!64,
Gastric Cancer,,Advanced,2nd and later line,,DESTINY-Gastric01,,HER2+ gastric ≥2 prior lines,tras-derux vs iri or taxol,OS 12.5 vs 8.4 mos; 10% ILD,,,,,,,Gastric Cancer!65,
Gastric Cancer,,Advanced,2nd and later line,,DESTINY-Gastric04,,HER2+ gastric or GEJ post trastuzumab,tras-derux vs ram-paclitaxel,"OS 14.7 vs 11.4 mos, HR 0.74; ORR 44 vs 29 %",,,,,,,Gastric Cancer!66,
Gastric Cancer,,Advanced,2nd and later line,,FRUTIGA,,Gastric ca post 5FU/platinum,Paclitaxel +/- Frutiga,"PFS 5.6 vs 27 mos, HR 0.59; ORR 43 vs 22%; OS NS (9 mos)",,,,,,,Gastric Cancer!67,
Gastric Cancer,,Surgery in metastatic disease,,,REGATTA,Phase 3,single non-curative metastasis,chemo+/-gastrectomy,OS NS (16 vs 14 mos - lower numerically with gastrectomy),,,,,,,Gastric Cancer!70,
Gastric Cancer,,Surgery in metastatic disease,,,RENAISSANCE,Phase 3,limited metastatic GAC,Periop FLOT+/-HER2 with or without resection of stomach and metastasis,Not yet reported; primary endpoint overall survival (NCT02578368),Design paper BMC Cancer 2017;17:893 (PMID 29282088); no results in PubMed as of Sept 2026,,,,,,Gastric Cancer!71,
Gastric Cancer,,Surgery in metastatic disease,,,SURGIGAST,Phase 3,oligometastatic GAC,Periop chemo +/- resection primary and mets,Terminated for inadequate accrual (NCT03042169); no efficacy data,,,,,,,Gastric Cancer!72,
Head and Neck,,Metastatic,,,KEYNOTE 048,Phase 3,1st line; (14 primary hypotheses); chemo=platinum-5FU,Pembro vs pembro-chemo vs cetux-chemo,"CPS≥20 OS pembro vs cetux-chemo 15 vs 11 mo, HR 0.6; CPS≥1 12 vs 10 mo, HR 0.78; pembro-chemo vs cetux-chemo 13 vs 11 mo, HR 0.77 (overall and PD-L1+)",A bit less clear if pembro monotherapy benefit in CPS≥1 driven by the ≥20 group,,,,,,Head and Neck!4,
Head and Neck,,Metastatic,,,EXTREME,Phase 3,1st line metastatic/recurrent,platinum-5FU+/-cetuximab,"OS 10 vs 7 mos, HR 0.8; PFS 5.6 vs 3.3 mos; ORR 36 vs 20%",No crossover allowed so possible sequential use of cetuximab would have produced similar OS,,,,,,Head and Neck!5,
Head and Neck,,Metastatic,,,Guigay,Phase 2,1st line; TPEx (docetaxel; platinum; cetuximab),TPEx vs EXTREME regimen,OS 14.5 vs 13.4 mos (NS; fewer severe AEs with TPEx,,,,,,,Head and Neck!6,
Head and Neck,,Metastatic,,,KEYNOTE 040,Phase 3,Recurrent HSNCC; chemo = MTX; docetaxel or cetuximab,Pembro vs chemo,"OS 8.4 vs 6.9 mos, HR 0.8; pembro better tolerated; ORR 15 vs 10% (NS); DOR 18 vs 5 mos; in subgroup analysis OS benefit significant in PDL1+ but not negative",,,,,,,Head and Neck!7,
Head and Neck,,Metastatic,,,CHECKMATE 141,Phase 3,Recurrent HSNCC; chemo = MTX; docetaxel or cetuximab,Nivo vs chemo,"OS 7.7 vs 5.1 mos, HR 0.71; OS significant in PDL1+ but not neg population",,,,,,,Head and Neck!8,
Hepatobiliary,Biliary,,,,ZSAB-neoGOLP,Phase 2,"Phase 2-3, resectable high risk intrahepatic cholangioca; all had adjuvant cape",Neoadjuvant GOLP (gem-ox+toripalimab+lenvatinib) vs Placebo,"EFS 18 vs 9 mos; 24 mo OS 79 vs 61%, HR. 0.43);",,,,,,,Hepatobiliary!5,
Hepatobiliary,Biliary,,,,BILCAP,,Adjuvant cholangio (completely resected),Cape vs placebo,"OS NS but felt “clinically meaningful” HR 0.81, OS 51 vs 36 mos",,,,,,,Hepatobiliary!6,
Hepatobiliary,Biliary,,,,ABC-02,,"1st line cholangio, GB, ampullary",Cis-gem vs gem,"OS 11.7 vs 8 mos; PFS 8 vs 5 mos,",,,,,,,Hepatobiliary!7,
Hepatobiliary,Biliary,,,,Andre,,1st line biliary,Gem-OX vs XELOX,Similar OS and PFS,,,,,,,Hepatobiliary!8,
Hepatobiliary,Biliary,,,,TOPAZ-1,Phase 3,1st line; excludes ampullary,Gem-CAIS +/- durvalumab,"OS 12.8 vs 11.5 mos, HR 0.8; 24 no OS 25 vs 10%; RR 26 vs 19%",,,,,,,Hepatobiliary!9,
Hepatobiliary,Biliary,,,,Keynote 966,Phase 3,first line,Gem-Cis+/- pembro,"OS 13 vs 11 mos, HR 0.83;",,,,,,,Hepatobiliary!10,
Hepatobiliary,Biliary,,,,HERIZON-BTC-01,,"Phase 2b, 2nd line after gemcitabine based treatment",Zanidatamab,ORR 41% with HER2 2+or 3+ cohort; 18% grade 3/4 AEs,,,,,,,Hepatobiliary!11,
Hepatobiliary,Biliary,,,,ABC-06,,2nd line after cis-gem,FOLFOX vs BSC,"OS 6.2 vs 5.3 mos, HR 0.69; 6 mo OS 61 vs 36%, 12 mo OS 26 vs 11%;",,,,,,,Hepatobiliary!12,
Hepatobiliary,Biliary,,,,NIFTY,Phase 3,2nd line,5FU/LV+/-Nal-iri,"PFS 7 vs 1.4 mos, Hr0.56; OS 8.6 vs 5.5 mos, HR 0.68",,,,,,,Hepatobiliary!13,
Hepatobiliary,Biliary,,,,REACHIN,,2nd iine after gem baed regimen,Regorafenib vs BSC,"PFS 3 vs 1.5 mos, similar OS",Can consider 3rd line given lackluster results,,,,,,Hepatobiliary!14,
Hepatobiliary,Biliary,,,,FIGHT-202,,FGFR2 fusion positive cholangiocarcinoma,Pemigatinib,ORR 36%; DCR 88%; DOR 7.5 mosm,FIGHT 302 will be in first line pemigatinib vs cis-gem,,,,,,Hepatobiliary!15,
Hepatobiliary,Biliary,,,,Kim et al,Phase 2,Advanced refractory biliary; pMMR,Nivo,9/10 responders overexpressed PDL1,Pembro seems not to have activity in biliary cancer,,,,,,Hepatobiliary!16,
Hepatobiliary,Biliary,,,,ClarIDHy,,Advanced progressive cholangio with IDH1 mutation,Ivosidenib vs placebo,"PFS 2.7 mos, OS NS but trend better (10.3 vs 7.5 mos) and ?affected by x-over",,,,,,,Hepatobiliary!17,
Hepatobiliary,Biliary,,,,FOENIX-CCA2,Phase 2,FGFR mutant intrahepatic cholangiocarcinomas; single arm phase 2,Futibatinib,"RR 42%; PFS 9 mos; DOR 10 mos, OS 22 mos; AEs include hyperphosphatemia, alopecia, dry mouth",,,,,Taiho,,Hepatobiliary!18,
Hepatobiliary,Biliary,,,,HERB,Phase 2,multicenter phase 2; 2nd line after gem based treatment (HER2+ and HER2 low arms),TDXd,"HER2+ - ORR 36%; mDOR 7 mos; mPFS 5 mos; mOS 7 mos; high rates ILD 25%, G≥3 13%",,,,,,,Hepatobiliary!19,
Hepatobiliary,HCC,Early,,,Li,,Large (>7cm) unresectable HCC without macrovascular invasion,FOLFOX-HAIC vs TCE,"OS 23 vs 16 mos, HR 0.58). More serious AEs with TACE (30 vs 19%)",Asian popn so predominant hep B; technical challenges of HAIC; (both limiting factors for generalizability),,,,,,Hepatobiliary!23,
Hepatobiliary,HCC,Early,,,IMBrave050,,"Adjuvant, high risk for recurrence",Atezo-bev vs observation,RFS HR 0.72 on initial report but 0.90 NS with followup up. OS NS,,,,,,,Hepatobiliary!24,
Hepatobiliary,HCC,Advanced,,,SHARP,Phase 3,"Phase 3 unresectable HCC, 1st line",Sorafenib vs placebo,OS 10.7 vs 7.9 mos; PFS 5.5 vs 2.8 mos; ORR 2% (PRs);,Main AEs diarrhea and hand-foot; CP-B >7 not good candidates for sorafenib,,,,,,Hepatobiliary!26,
Hepatobiliary,HCC,Advanced,,,REFLECT,Phase 3,"Phase 3 unresectable HCC, 1st line; non-inferiority",Lenvatinib vs sorafenib,"OS 13.6 vs 12.3 mos, HR 0.92; ORR 24 vs 9%; TTP 7.4 vs 3.7 mos, HR 0.66","More grade ≥3 HTN, less hand foor and alopecia; lenvatinib only in CP A",,,,,,Hepatobiliary!27,
